ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
timeline and required,3,AC15,S1,trigrams,timeline required,2,practicality_and_feasibility,1,timeline,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,timeline,False
long term dependency,2,AC15,S1,trigrams,long term dependency,3,practicality_and_feasibility|temporal_dynamics,2,dependency|long term,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.time_horizons,2,2,2,0,practical_considerations_and_execution|temporal_projection,,dependency|long term,False
high switching cost,2,AC15,S1,trigrams,high switching cost,3,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
cost reduction vs,2,AC15,S1,trigrams,cost reduction vs,3,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
central cloud dependency,2,AC15,S1,trigrams,central cloud dependency,3,practicality_and_feasibility,1,dependency,cloud,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,dependency,False
schedule if novagrid,2,AC15,S1,trigrams,schedule novagrid,2,practicality_and_feasibility,1,schedule,novagrid,1,0.5,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
timelines transition assistance,2,AC15,S1,trigrams,timelines transition assistance,3,temporal_dynamics,1,transition,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,timelines|transit|transition,False
cost to maintain,2,AC15,S1,trigrams,cost maintain,2,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
schedule exhibit with,2,AC15,S1,trigrams,schedule exhibit,2,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
high switching costs,2,AC15,S1,trigrams,high switching costs,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,costs,False
real maintenance costs,2,AC15,S1,trigrams,real maintenance costs,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,costs,False
modular mitigates the,2,AC15,S1,trigrams,modular mitigates,2,,0,,modular,1,0.5,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,mitigat,False
costs blow up,2,AC15,S1,trigrams,costs blow up,3,,0,,,0,0.0,False,practical_considerations_and_execution|warning,practical_considerations_and_execution.resources_timing_conditions|warning,2,2,1,1,practical_considerations_and_execution,warning,blow up|costs,False
contingent on passing,2,AC15,S1,trigrams,contingent passing,2,,0,,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.resources_timing_conditions,2,2,1,1,practical_considerations_and_execution,conditions,contingen|contingent|contingent on,False
hybrid failover costs,2,AC15,S1,trigrams,hybrid failover costs,3,,0,,failover,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,costs,False
schedule slip or,3,AC15P,S1,trigrams,schedule slip,2,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
total operating cost,3,AC15P,S1,trigrams,total operating cost,3,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
