ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
over durable artifacts,6,AC15P,S5,trigrams,over durable artifacts,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,durable,False
durable artifacts adrs,4,AC15P,S5,trigrams,durable artifacts adrs,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,durable,False
to durable artifacts,3,AC15P,S5,trigrams,durable artifacts,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,durable,False
durable artifacts with,3,AC15P,S5,trigrams,durable artifacts,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,durable,False
pointers to durable,2,AC15P,S5,trigrams,pointers durable,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,durable,False
vectors over durable,2,AC15P,S5,trigrams,vectors over durable,3,,0,,vector|vectors,2,0.3333333333333333,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,durable,False
retrieval over durable,2,AC15P,S5,trigrams,retrieval over durable,3,,0,,retrieval,1,0.3333333333333333,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,durable,False
restate stable context,2,CONTROL,S5,trigrams,restate stable context,3,,0,,context,1,0.3333333333333333,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.constraints_and_tradeoffs|temporal_projection.robustness_and_resilience,2,2,2,0,practical_considerations_and_execution|temporal_projection,,context|stable,False
tend to preserve,2,CONTROL,S5,trigrams,tend preserve,2,,0,,,0,0.0,False,hedging|temporal_projection,hedging|temporal_projection.robustness_and_resilience,2,2,1,1,temporal_projection,hedging,preserve|tend,False
for stable artifacts,2,HYBRID_3_5,S5,trigrams,stable artifacts,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,stable,False
tends to preserve,2,HYBRID_3_5,S5,trigrams,tends preserve,2,,0,,,0,0.0,False,hedging|temporal_projection,hedging|temporal_projection.robustness_and_resilience,2,2,1,1,temporal_projection,hedging,preserve|tends|tends to,False
durable truth from,2,HYBRID_SEMANTIC,S5,trigrams,durable truth,2,truth_and_fact,1,truth,,0,0.0,False,temporal_projection|truth,temporal_projection.robustness_and_resilience|truth.fact_vs_interpretation,2,2,2,0,temporal_projection|truth,,durable|truth,False
