ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
constrained launch parallel hardware,2,AC15,S3,quadgrams,constrained launch parallel hardware,4,practicality_and_feasibility,1,constrained,launch,1,0.25,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution|practical_considerations_and_execution.constraints_and_tradeoffs,1,2,1,0,practical_considerations_and_execution,,constrain|constrained|launch,False
procedural controls software constraints,2,AC15,S3,quadgrams,procedural controls software constraints,4,practicality_and_feasibility,1,constraints,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constraints,False
a clearly bounded operating,2,AC15,S3,quadgrams,clearly bounded operating,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bounded,False
clearly bounded operating envelope,2,AC15,S3,quadgrams,clearly bounded operating envelope,4,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bounded,False
bounded operating envelope with,2,AC15,S3,quadgrams,bounded operating envelope,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bounded,False
bound the failure mode,2,AC15,S3,quadgrams,bound failure mode,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bound,False
exclusions for known limitations,2,AC15,S3,quadgrams,exclusions known limitations,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,limitations,False
limited availability early access,4,AC15P,S3,quadgrams,limited availability early access,4,,0,,early access,1,0.5,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.constraints_and_tradeoffs|temporal_projection.time_horizons,2,2,2,0,practical_considerations_and_execution|temporal_projection,,early|limited,False
mitigation is not bounded,3,AC15P,S3,quadgrams,mitigation bounded,2,practicality_and_feasibility,1,mitigation,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs|practical_considerations_and_execution.resources_timing_conditions,1,2,1,0,practical_considerations_and_execution,,bounded|mitigat|mitigation,False
paid pilot limited availability,2,AC15P,S3,quadgrams,paid pilot limited availability,4,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,limited|pilot,False
bounded operating envelope site,2,AC15P,S3,quadgrams,bounded operating envelope site,4,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bounded,False
bound on event rate,2,AC15P,S3,quadgrams,bound event rate,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bound,False
in a prohibited context,2,AC15P,S3,quadgrams,prohibited context,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,context,False
bounded la eap launch,2,AC15P,S3,quadgrams,bounded la eap launch,4,,0,,launch,1,0.25,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution|practical_considerations_and_execution.constraints_and_tradeoffs,1,2,1,0,practical_considerations_and_execution,,bounded|launch,False
a constrained commercial deployment,3,CONTROL,S3,quadgrams,constrained commercial deployment,3,practicality_and_feasibility,1,constrained,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constrained,False
a constrained commercial release,2,CONTROL,S3,quadgrams,constrained commercial release,3,practicality_and_feasibility,1,constrained,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constrained,False
bounded entry into service,3,HYBRID_3_5,S3,quadgrams,bounded entry service,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bounded,False
commercial pilot limited availability,2,HYBRID_3_5,S3,quadgrams,commercial pilot limited availability,4,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,limited|pilot,False
you ship a constrained,2,HYBRID_3_5,S3,quadgrams,ship constrained,2,practicality_and_feasibility,1,constrained,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution|practical_considerations_and_execution.constraints_and_tradeoffs,1,2,1,0,practical_considerations_and_execution,,constrain|constrained|ship,False
a constrained entry into,2,HYBRID_3_5,S3,quadgrams,constrained entry,2,practicality_and_feasibility,1,constrained,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constrained,False
constrained entry into service,2,HYBRID_3_5,S3,quadgrams,constrained entry service,3,practicality_and_feasibility,1,constrained,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constrained,False
suggest the most realistic,2,HYBRID_3_5,S3,quadgrams,suggest most realistic,3,practicality_and_feasibility,1,realistic,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,realistic,False
entry into service limited,2,HYBRID_3_5,S3,quadgrams,entry service limited,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,limited,False
limited availability with renegotiated,2,HYBRID_3_5,S3,quadgrams,limited availability renegotiated,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,limited,False
limited availability counts as,2,HYBRID_3_5,S3,quadgrams,limited availability counts,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,limited,False
bound the interference risk,2,HYBRID_SEMANTIC,S3,quadgrams,bound interference risk,3,practicality_and_feasibility,1,risk,interference,1,0.3333333333333333,False,practical_considerations_and_execution|warning,practical_considerations_and_execution.constraints_and_tradeoffs|warning,2,2,1,1,practical_considerations_and_execution,warning,bound|risk,False
with a constrained envelope,2,HYBRID_SEMANTIC,S3,quadgrams,constrained envelope,2,practicality_and_feasibility,1,constrained,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constrained,False
constrained launch disqualified if,2,HYBRID_SEMANTIC,S3,quadgrams,constrained launch disqualified,3,practicality_and_feasibility,1,constrained,launch,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution|practical_considerations_and_execution.constraints_and_tradeoffs,1,2,1,0,practical_considerations_and_execution,,constrain|constrained|launch,False
integrity monitoring if feasible,2,HYBRID_SEMANTIC,S3,quadgrams,integrity monitoring feasible,3,practicality_and_feasibility,1,feasible,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,feasible,False
case for that limited,2,HYBRID_SEMANTIC,S3,quadgrams,case limited,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,limited,False
for that limited envelope,2,HYBRID_SEMANTIC,S3,quadgrams,limited envelope,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,limited,False
you have a viable,2,HYBRID_SEMANTIC,S3,quadgrams,have viable,2,,0,,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,viable,False
