Scenario 1 - Trigrams,,,,,,,,,
CONTROL,,AC15,,AC15P,,HYBRID_3_5,,HYBRID_SEMANTIC,
Trigram,Count,Trigram,Count,Trigram,Count,Trigram,Count,Trigram,Count
industry standard controllers,19,on prem failover,30,on prem failover,23,on prem failover,30,on prem failover,23
essential infrastructure cloud,15,data config portability,14,for essential infrastructure,17,essential infrastructure cloud,26,essential infrastructure cloud,15
the modular option,15,the lock in,13,proprietary controller lead,10,industry standard controllers,14,industry standard controllers,14
on prem failover,15,essential infrastructure cloud,12,s lock in,10,if you can,13,the month support,12
if you want,14,for essential infrastructure,11,if you want,10,infrastructure cloud approval,13,year maintenance support,12
maintenance support price,12,the budget chair,11,lock in and,8,modular architecture option,11,maintenance support price,12
controller lead time,12,the modular option,11,the modular architecture,8,maintenance support price,10,support price lock,12
for essential infrastructure,10,civitas modular as,10,modular architecture option,8,with the modular,10,for essential infrastructure,12
year maintenance support,10,modular as the,10,so you can,8,the modular option,10,proprietary controller lead,11
support price lock,10,year maintenance support,9,month support cliff,8,if you want,10,month support cliff,11
modular architecture option,10,maintenance support price,9,the modular option,8,dot waiver review,10,if you can,11
the modular architecture,9,support price lock,9,essential infrastructure cloud,8,year maintenance support,9,you can t,11
s lock in,9,central down comms,9,if you can,8,support price lock,9,lock in and,10
the budget chair,8,down comms down,9,civitas modular as,8,this is the,9,controller lead times,10
vendor lock in,7,if you want,9,hardware lock in,8,anti lock in,9,degraded mode behavior,10
lead time risk,7,the mayor s,9,start on time,8,for essential infrastructure,9,modular architecture option,9
change of control,7,proprietary controller lead,8,data ownership full,7,lock in and,8,what to ask,9
standard controllers and,7,lock in and,8,ownership full export,7,civitas with the,8,to ask verify,9
proprietary controller lead,7,s lock in,8,this is the,7,on lock in,8,the modular architecture,8
dot waiver week,7,lock in concern,8,controller lead time,7,if you tell,8,the budget chair,8
waiver week review,7,the modular architecture,8,a dot waiver,7,you tell me,8,you don t,8
civitas modular option,6,modular architecture option,8,required on prem,7,end of support,8,180k and weeks,8
maintenance price lock,6,this is the,8,prem failover 180k,7,what to check,8,why it s,8
council s lock,6,if you tell,8,why it may,7,only if you,7,but only if,7
milestone based payments,6,infrastructure cloud approval,7,it may be,7,the modular architecture,7,the modular option,7
what s included,6,lead times and,7,may be underestimated,7,data ownership export,7,change of control,7
you want i,6,reduces lock in,7,full export of,6,novagrid s incident,7,s lock in,7
want i can,6,you tell me,7,transition assistance clause,6,civitas modular is,6,lock in optics,7
if you tell,6,what would make,7,year maintenance support,6,price lock and,6,long term operating,7
you tell me,6,with the modular,6,maintenance support price,6,of lower maintenance,6,civitas modular as,7
reduces lock in,6,is the most,6,support price lock,6,a one page,6,modular as the,7
this is the,6,essential infrastructure hosting,6,modular standard controllers,6,essential infrastructure governance,6,emergency services needs,7
infrastructure cloud exception,6,as the primary,6,lock in mitigation,6,export timing plans,6,if you want,7
dot threshold automatically,6,lock in risk,6,lock in concern,6,the option that,6,the dot waiver,7
threshold automatically and,6,long lead items,6,civitas modular is,6,with acceptance tests,6,if cloud approval,6
underestimated assumption that,6,you need to,6,essential infrastructure governance,6,you don t,6,case by case,6
how it could,6,i can suggest,6,modular as the,6,incident response capabilities,6,reduces lock in,6
it could bite,6,what to do,6,requires a dot,6,s lock in,6,long term cost,6
what to verify,6,if you can,6,180k and weeks,6,in documented formats,6,supply chain risk,6
to verify now,6,you have a,6,the budget chair,6,a dot waiver,6,infrastructure cloud review,6
state dot preference,5,mayor s office,6,week lead times,5,the lock in,5,priced transition assistance,6
case by case,5,would make us,6,controller models and,5,controller lead times,5,addresses lock in,6
cloud fee with,5,make us wrong,6,assistance clause pre,5,lock and early,5,cloud approval and,6
offers a year,5,controller lead times,5,clause pre priced,5,early evidence of,5,this is the,6
shorter track record,5,what you re,5,pre priced support,5,evidence of lower,5,lock in concern,6
with the modular,5,chair s lock,5,with the modular,5,controller standards models,5,budget chair s,6
in the contract,5,civitas with the,5,fee escalation caps,5,transition assistance rates,5,transition assistance priced,6
of control protections,5,change of control,5,council s lock,5,cloud essential infrastructure,5,assistance priced now,6
so you can,5,budget chair s,5,why this is,5,vendor lock in,5,highway integration is,6
controller lead times,5,keep novagrid as,5,chair s lock,5,lock in mitigation,5,infrastructure cloud approval,6
for civitas modular,5,recommend civitas modular,5,maintenance price lock,5,schedule and governance,5,prem failover 180k,6
a one page,5,logs performance data,5,recurring cloud fees,5,the modular open,5,before the month,5
recommend civitas modular,5,and the contract,5,in documented formats,5,modular open controller,5,civitas modular is,5
lock in concern,5,recurring fees and,5,if the city,5,you can use,5,outage degraded mode,5
the lock in,5,industry standard controllers,5,cloud approval and,5,acceptance testing and,5,so you can,5
standard controllers is,5,recurring cloud fees,5,supply chain and,5,acceptance test plan,5,the lock in,5
toward civitas modular,5,this into a,5,vendor lock in,5,i can suggest,5,for civitas modular,5
term o m,5,what s included,5,week proprietary controller,5,can suggest the,5,you re not,5
treat it as,5,controller substitution rights,5,models lead times,5,in the contract,5,timing plans logs,5
if you can,5,it doesn t,5,lead times and,5,month end of,5,logs and performance,5
proceed with civitas,5,near term opex,5,civitas modular with,5,tell me whether,5,and performance data,5
the dot waiver,5,week selection window,5,and contract terms,5,civitas modular as,5,the most defensible,5
state dot waiver,5,the dot waiver,5,is a real,5,modular as the,5,only if you,5
180k and weeks,5,the on prem,5,operating cost predictability,5,what to do,5,overrides priority workflows,5
it cloud exception,5,dot waiver review,5,novagrid s incident,5,response capabilities as,5,acceptance testing and,5
lock in and,5,if they can,5,novagrid can be,5,regardless of vendor,5,and lock in,5
into the contract,5,required on prem,5,you don t,5,lock in concern,5,controller lead time,5
anti lock in,5,the parking system,5,within business days,5,recurring cloud fees,5,performance data in,5
prem failover 180k,5,prem failover 180k,5,failover 180k weeks,5,why it matters,5,data in documented,5
start on time,5,failover 180k weeks,5,addresses lock in,5,treat it as,5,in documented formats,5
you re not,4,it s not,5,mayor s office,5,long term operating,5,adds 180k and,5
lock in risk,4,controller lead time,4,it required on,5,180k and weeks,5,in a way,5
lock in civitas,4,pre approved equivalents,4,modular standard controller,5,in year one,5,the mayor s,5
civitas standard integrated,4,reference calls focused,4,you can t,5,a year maintenance,4,start on time,5
uses industry standard,4,but only if,4,essential infrastructure hosting,4,the essential infrastructure,4,a minor failure,5
recurring cloud fee,4,in the contract,4,city it security,4,infrastructure cloud hosting,4,it s clearly,5
with annual adjustment,4,the essential infrastructure,4,civitas modular option,4,slower feature updates,4,s clearly wrong,5
and supply chain,4,performance data in,4,industry standard controllers,4,is the most,4,only if cloud,4
week lead times,4,proprietary central components,4,exact controller models,4,and early evidence,4,it essential infrastructure,4
readily available standard,4,cloud essential infrastructure,4,a year maintenance,4,written essential infrastructure,4,mayor s prior,4
available standard controllers,4,essential infrastructure review,4,but you should,4,the 90k annual,4,recurring cloud fees,4
a year maintenance,4,infrastructure cloud review,4,standard controllers is,4,contract terms that,4,with the modular,4
year maintenance price,4,if you answer,4,controller lead times,4,highway integration is,4,reduced lock in,4
slower feature updates,4,you answer those,4,cloud hosting for,4,novagrid cloud fees,4,novagrid becomes a,4
of lower maintenance,4,answer those i,4,avoid lock in,4,isn t hostage,4,no proprietary substitution,4
to lock in,4,those i can,4,the council s,4,t hostage priced,4,proprietary substitution without,4
lock in the,4,to civitas integrated,4,lock in sensitivity,4,what s included,4,or fixed escalator,4
the most defensible,4,civitas integrated proprietary,4,to civitas systems,4,i can help,4,what is the,4
lock in concerns,4,integrated proprietary controller,4,standard controllers and,4,can help you,4,and acceptance tests,4
if you choose,4,a one page,4,the state dot,4,you can still,4,is the most,4
controllers detection comms,4,in documented formats,4,but the modular,4,and i ll,4,standard controllers and,4
payments tied to,4,critical path schedule,4,option standard controllers,4,operating cost stability,4,cloud hosting for,4
you ll want,4,week lead times,4,in the contract,4,to lock in,4,if you answer,4
civitas modular is,4,you want i,4,lead time risk,4,incident modes evp,4,this into a,4
the city s,4,want i can,4,remain safe and,4,even if the,4,offers a year,4
to reduce lock,4,what is the,4,long term cost,4,a sample export,4,a year maintenance,4
reduce lock in,4,with long lead,4,civitas integrated proprietary,4,that doesn t,4,council s lock,4
data ownership export,4,a tight budget,4,integrated proprietary controller,4,suggest the cleanest,4,integration is day,4
annual cloud fee,4,you don t,4,the week proprietary,4,open controller option,4,is day one,4
for highway integration,4,what i d,4,controller models lead,4,the parking system,4,what s included,4
the modular deployments,4,be treated as,4,novagrid s cloud,4,prem failover 180k,4,early maintenance reduction,4
civitas systems modular,4,lock in optics,4,likely to be,4,cannot delay start,4,and long term,4
systems modular architecture,4,but you need,4,a critical path,4,incident corridor modes,4,a one page,4
mandatory cloud hosting,4,config portability transition,4,the option that,4,a minor failure,4,lock in exit,4
long term cost,4,portability transition assistance,4,we chose the,4,architecture option industry,4,time to action,4
you have a,4,tied to payment,4,this is a,4,option industry standard,4,acceptance tests and,4
where this leaves,4,degraded mode operations,4,if you choose,4,proprietary controller lead,4,don t treat,4
recommendation to council,4,treat it as,4,award to civitas,4,api interface access,4,treat it as,4
the week proprietary,4,it approved failover,4,dot waiver review,4,to civitas systems,3,controller models standards,4
