ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
one click mark outdated,4,AC15,S5,quadgrams,one click mark outdated,4,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,outdated,False
decision constraint convention confirmedfix,3,AC15,S5,quadgrams,decision constraint convention confirmedfix,4,practicality_and_feasibility,1,constraint,,0,0.0,False,practical_considerations_and_execution|truth,practical_considerations_and_execution.constraints_and_tradeoffs|truth.verification,2,2,2,0,practical_considerations_and_execution|truth,,confirm|constrain|constraint,False
click mark outdated supersede,3,AC15,S5,quadgrams,click mark outdated supersede,4,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,outdated,False
active superseded deprecated created_at,3,AC15,S5,quadgrams,active superseded deprecated created_at,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
superseded deprecated created_at last_confirmed_at,3,AC15,S5,quadgrams,superseded deprecated created_at last_confirmed_at,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
deprecated created_at last_confirmed_at confidence,3,AC15,S5,quadgrams,deprecated created_at last_confirmed_at confidence,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
layer a authoritative project,3,AC15,S5,quadgrams,layer authoritative project,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
a authoritative project memory,3,AC15,S5,quadgrams,authoritative project memory,3,,0,,memory|project memory,2,0.6666666666666666,False,,,0,0,0,0,,,,True
confidence user approved vs,3,AC15,S5,quadgrams,confidence user approved vs,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
ttl e g days,3,AC15,S5,quadgrams,ttl e g days,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
approval for high impact,3,AC15,S5,quadgrams,approval high impact,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
for high impact items,3,AC15,S5,quadgrams,high impact items,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
link to adr pr,3,AC15,S5,quadgrams,link adr pr,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
authoritative project memory apm,3,AC15,S5,quadgrams,authoritative project memory apm,4,,0,,memory|project memory,2,0.5,False,,,0,0,0,0,,,,True
constraints conventions confirmed fixes,2,AC15,S5,quadgrams,constraints conventions confirmed fixes,4,truth_and_fact|practicality_and_feasibility,2,confirmed|constraints,,0,0.0,False,practical_considerations_and_execution|truth,practical_considerations_and_execution.constraints_and_tradeoffs|truth.verification,2,2,2,0,practical_considerations_and_execution|truth,,confirm|confirmed|constrain|constraints,False
as decaying cited evidence,2,AC15,S5,quadgrams,decaying cited evidence,3,truth_and_fact|temporal_dynamics,2,decaying|evidence,,0,0.0,False,temporal_projection|truth,temporal_projection.decay_and_currency|truth.verification,2,2,2,0,temporal_projection|truth,,decaying|evidence,False
