ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
would make us wrong,6,AC15,S1,quadgrams,make wrong,2,,0,,,0,0.0,False
data config portability transition,4,AC15,S1,quadgrams,data config portability transition,4,truth_and_fact|temporal_dynamics,2,transition|data,,0,0.0,False
answer those i can,4,AC15,S1,quadgrams,answer those i,3,,0,,,0,0.0,False
with long lead items,4,AC15,S1,quadgrams,long lead items,3,,0,,,0,0.0,False
recommend civitas modular as,4,AC15,S1,quadgrams,recommend civitas modular,3,,0,,civitas|modular,2,0.6666666666666666,False
timeline and required controls,3,AC15,S1,quadgrams,timeline required controls,3,practicality_and_feasibility,1,timeline,,0,0.0,False
data config portability and,3,AC15,S1,quadgrams,data config portability,3,truth_and_fact,1,data,,0,0.0,False
config portability transition assistance,3,AC15,S1,quadgrams,config portability transition assistance,4,temporal_dynamics,1,transition,,0,0.0,False
city ownership of timing,3,AC15,S1,quadgrams,city ownership timing,3,,0,,,0,0.0,False
long lead items and,3,AC15,S1,quadgrams,long lead items,3,,0,,,0,0.0,False
for after action review,3,AC15,S1,quadgrams,after action review,3,,0,,,0,0.0,False
tied to payment milestones,3,AC15,S1,quadgrams,tied payment milestones,3,,0,,,0,0.0,False
civitas clears dot s,3,AC15,S1,quadgrams,civitas clears dot,3,,0,,civitas|dot,2,0.6666666666666666,False
exhibit with long lead,3,AC15,S1,quadgrams,exhibit long lead,3,,0,,,0,0.0,False
with timeline and required,2,AC15,S1,quadgrams,timeline required,2,practicality_and_feasibility,1,timeline,,0,0.0,False
a concrete critical path,2,AC15,S1,quadgrams,concrete critical path,3,practicality_and_feasibility,1,concrete,,0,0.0,False
controllers data config portability,2,AC15,S1,quadgrams,controllers data config portability,4,truth_and_fact,1,data,controller|controllers,2,0.25,False
in standard controllers data,2,AC15,S1,quadgrams,standard controllers data,3,truth_and_fact,1,data,controller|controllers,2,0.3333333333333333,False
standard controllers data ownership,2,AC15,S1,quadgrams,standard controllers data ownership,4,truth_and_fact,1,data,controller|controllers,2,0.25,False
less long run evidence,2,AC15,S1,quadgrams,less long run evidence,4,truth_and_fact,1,evidence,,0,0.0,False
concrete way standard controllers,2,AC15,S1,quadgrams,concrete way standard controllers,4,practicality_and_feasibility,1,concrete,controller|controllers,2,0.25,False
