ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
one click mark outdated,4,AC15,S5,quadgrams,one click mark outdated,4,temporal_dynamics,1,outdated,,0,0.0,False
click mark outdated supersede,3,AC15,S5,quadgrams,click mark outdated supersede,4,temporal_dynamics,1,outdated,,0,0.0,False
active superseded deprecated created_at,3,AC15,S5,quadgrams,active superseded deprecated created_at,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
superseded deprecated created_at last_confirmed_at,3,AC15,S5,quadgrams,superseded deprecated created_at last_confirmed_at,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
deprecated created_at last_confirmed_at confidence,3,AC15,S5,quadgrams,deprecated created_at last_confirmed_at confidence,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
decision constraint convention confirmedfix,3,AC15,S5,quadgrams,decision constraint convention confirmedfix,4,practicality_and_feasibility,1,constraint,,0,0.0,False
layer a authoritative project,3,AC15,S5,quadgrams,layer authoritative project,3,,0,,,0,0.0,False
a authoritative project memory,3,AC15,S5,quadgrams,authoritative project memory,3,,0,,memory|project memory,2,0.6666666666666666,False
confidence user approved vs,3,AC15,S5,quadgrams,confidence user approved vs,4,,0,,,0,0.0,False
ttl e g days,3,AC15,S5,quadgrams,ttl e g days,4,,0,,,0,0.0,False
approval for high impact,3,AC15,S5,quadgrams,approval high impact,3,,0,,,0,0.0,False
for high impact items,3,AC15,S5,quadgrams,high impact items,3,,0,,,0,0.0,False
link to adr pr,3,AC15,S5,quadgrams,link adr pr,3,,0,,,0,0.0,False
authoritative project memory apm,3,AC15,S5,quadgrams,authoritative project memory apm,4,,0,,memory|project memory,2,0.5,False
constraints conventions confirmed fixes,2,AC15,S5,quadgrams,constraints conventions confirmed fixes,4,truth_and_fact|practicality_and_feasibility,2,confirmed|constraints,,0,0.0,False
as decaying cited evidence,2,AC15,S5,quadgrams,decaying cited evidence,3,truth_and_fact|temporal_dynamics,2,decaying|evidence,,0,0.0,False
typed records decision constraint,2,AC15,S5,quadgrams,typed records decision constraint,4,practicality_and_feasibility,1,constraint,,0,0.0,False
records decision constraint convention,2,AC15,S5,quadgrams,records decision constraint convention,4,practicality_and_feasibility,1,constraint,,0,0.0,False
auto approves low risk,2,AC15,S5,quadgrams,auto approves low risk,4,practicality_and_feasibility,1,risk,,0,0.0,False
you implement memory as,2,AC15,S5,quadgrams,implement memory,2,practicality_and_feasibility,1,implement,memory,1,0.5,False
vectors as cited evidence,2,AC15,S5,quadgrams,vectors cited evidence,3,truth_and_fact,1,evidence,vector|vectors,2,0.3333333333333333,False
hasn t been confirmed,2,AC15,S5,quadgrams,hasn been confirmed,3,truth_and_fact,1,confirmed,,0,0.0,False
t been confirmed in,2,AC15,S5,quadgrams,been confirmed,2,truth_and_fact,1,confirmed,,0,0.0,False
been confirmed in days,2,AC15,S5,quadgrams,been confirmed days,3,truth_and_fact,1,confirmed,,0,0.0,False
outdated don t use,2,AC15,S5,quadgrams,outdated use,2,temporal_dynamics,1,outdated,,0,0.0,False
confirm if you tell,2,AC15,S5,quadgrams,confirm tell,2,truth_and_fact,1,confirm,,0,0.0,False
continuity but make it,2,AC15,S5,quadgrams,continuity make,2,temporal_dynamics,1,continuity,continuity,1,0.5,False
always show source date,2,AC15,S5,quadgrams,always show source date,4,truth_and_fact,1,source,,0,0.0,False
layer b evidence index,2,AC15,S5,quadgrams,layer b evidence index,4,truth_and_fact,1,evidence,,0,0.0,False
b evidence index ei,2,AC15,S5,quadgrams,b evidence index ei,4,truth_and_fact,1,evidence,,0,0.0,False
code prompt constraints only,2,AC15,S5,quadgrams,code prompt constraints,3,practicality_and_feasibility,1,constraints,code,1,0.3333333333333333,False
project brief decisions constraints,2,AC15,S5,quadgrams,project brief decisions constraints,4,practicality_and_feasibility,1,constraints,,0,0.0,False
brief decisions constraints conventions,2,AC15,S5,quadgrams,brief decisions constraints conventions,4,practicality_and_feasibility,1,constraints,,0,0.0,False
convention patterns error handling,2,AC15,S5,quadgrams,convention patterns error handling,4,,0,,,0,0.0,False
patterns error handling logging,2,AC15,S5,quadgrams,patterns error handling logging,4,,0,,,0,0.0,False
pii can t leave,2,AC15,S5,quadgrams,pii leave,2,,0,,,0,0.0,False
can t leave region,2,AC15,S5,quadgrams,leave region,2,,0,,,0,0.0,False
repo service module status,2,AC15,S5,quadgrams,repo service module status,4,,0,,,0,0.0,False
service module status active,2,AC15,S5,quadgrams,service module status active,4,,0,,,0,0.0,False
module status active superseded,2,AC15,S5,quadgrams,module status active superseded,4,,0,,,0,0.0,False
created_at last_confirmed_at confidence user,2,AC15,S5,quadgrams,created_at last_confirmed_at confidence user,4,,0,,,0,0.0,False
last_confirmed_at confidence user approved,2,AC15,S5,quadgrams,last_confirmed_at confidence user approved,4,,0,,,0,0.0,False
is the senior colleague,2,AC15,S5,quadgrams,senior colleague,2,,0,,,0,0.0,False
g days unless promoted,2,AC15,S5,quadgrams,g days unless promoted,4,,0,,,0,0.0,False
something like score relevance,2,AC15,S5,quadgrams,something like score relevance,4,,0,,,0,0.0,False
for high impact types,2,AC15,S5,quadgrams,high impact types,3,,0,,,0,0.0,False
as governed time aware,2,AC15,S5,quadgrams,governed time aware,3,,0,,,0,0.0,False
governed time aware user,2,AC15,S5,quadgrams,governed time aware user,4,,0,,,0,0.0,False
time aware user auditable,2,AC15,S5,quadgrams,time aware user auditable,4,,0,,,0,0.0,False
can be versioned superseded,2,AC15,S5,quadgrams,versioned superseded,2,,0,,,0,0.0,False
or the model detects,2,AC15,S5,quadgrams,model detects,2,,0,,,0,0.0,False
a project brief authoritative,2,AC15,S5,quadgrams,project brief authoritative,3,,0,,,0,0.0,False
links to adrs runbooks,2,AC15,S5,quadgrams,links adrs runbooks,3,,0,,,0,0.0,False
fresh eyes mode so,2,AC15,S5,quadgrams,fresh eyes mode,3,,0,,fresh eyes,1,0.6666666666666666,False
policy auto approves low,2,AC15,S5,quadgrams,policy auto approves low,4,,0,,,0,0.0,False
if memory re injection,2,AC15,S5,quadgrams,memory injection,2,,0,,memory,1,0.5,False
memory re injection is,2,AC15,S5,quadgrams,memory injection,2,,0,,memory,1,0.5,False
a single free text,2,AC15,S5,quadgrams,single free text,3,,0,,,0,0.0,False
single free text blob,2,AC15,S5,quadgrams,single free text blob,4,,0,,,0,0.0,False
user approval for high,2,AC15,S5,quadgrams,user approval high,3,,0,,,0,0.0,False
authoritative memory structured summaries,2,AC15,S5,quadgrams,authoritative memory structured summaries,4,,0,,memory|summaries,2,0.5,False
scoped time stamped vector,2,AC15,S5,quadgrams,scoped time stamped vector,4,,0,,vector,1,0.25,False
this convention hasn t,2,AC15,S5,quadgrams,convention hasn,2,,0,,,0,0.0,False
convention hasn t been,2,AC15,S5,quadgrams,convention hasn been,3,,0,,,0,0.0,False
you ll ship a,2,AC15,S5,quadgrams,ll ship,2,,0,,,0,0.0,False
