ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
authoritative project memory,5,AC15,S5,trigrams,authoritative project memory,3,,0,,memory|project memory,2,0.6666666666666666,False
project brief decisions,5,AC15,S5,trigrams,project brief decisions,3,,0,,,0,0.0,False
click mark outdated,4,AC15,S5,trigrams,click mark outdated,3,temporal_dynamics,1,outdated,,0,0.0,False
created_at last_confirmed_at confidence,4,AC15,S5,trigrams,created_at last_confirmed_at confidence,3,,0,,,0,0.0,False
high impact types,4,AC15,S5,trigrams,high impact types,3,,0,,,0,0.0,False
pr commit doc,4,AC15,S5,trigrams,pr commit doc,3,,0,,,0,0.0,False
conventions confirmed fixes,3,AC15,S5,trigrams,conventions confirmed fixes,3,truth_and_fact,1,confirmed,,0,0.0,False
superseded deprecated created_at,3,AC15,S5,trigrams,superseded deprecated created_at,3,temporal_dynamics,1,deprecat,deprecated,1,0.3333333333333333,False
deprecated created_at last_confirmed_at,3,AC15,S5,trigrams,deprecated created_at last_confirmed_at,3,temporal_dynamics,1,deprecat,deprecated,1,0.3333333333333333,False
constraint convention confirmedfix,3,AC15,S5,trigrams,constraint convention confirmedfix,3,practicality_and_feasibility,1,constraint,,0,0.0,False
decisions invariants conventions,3,AC15,S5,trigrams,decisions invariants conventions,3,,0,,,0,0.0,False
the authoritative layer,3,AC15,S5,trigrams,authoritative layer,2,,0,,,0,0.0,False
a authoritative project,3,AC15,S5,trigrams,authoritative project,2,,0,,,0,0.0,False
confidence user approved,3,AC15,S5,trigrams,confidence user approved,3,,0,,,0,0.0,False
user approved vs,3,AC15,S5,trigrams,user approved vs,3,,0,,,0,0.0,False
service module prefer,3,AC15,S5,trigrams,service module prefer,3,,0,,,0,0.0,False
ttl e g,3,AC15,S5,trigrams,ttl e g,3,,0,,,0,0.0,False
user approval for,3,AC15,S5,trigrams,user approval,2,,0,,,0,0.0,False
approval for high,3,AC15,S5,trigrams,approval high,2,,0,,,0,0.0,False
high impact items,3,AC15,S5,trigrams,high impact items,3,,0,,,0,0.0,False
link to adr,3,AC15,S5,trigrams,link adr,2,,0,,,0,0.0,False
vector first memory,3,AC15,S5,trigrams,vector first memory,3,,0,,memory|vector,2,0.6666666666666666,False
project memory apm,3,AC15,S5,trigrams,project memory apm,3,,0,,memory|project memory,2,0.6666666666666666,False
rbac aware retrieval,3,AC15,S5,trigrams,rbac aware retrieval,3,,0,,retrieval,1,0.3333333333333333,False
manual context ux,3,AC15,S5,trigrams,manual context ux,3,,0,,context,1,0.3333333333333333,False
rationale constraints alternatives,2,AC15,S5,trigrams,rationale constraints alternatives,3,practicality_and_feasibility|imagination_and_possibility,2,alternatives|constraints,,0,0.0,False
decaying cited evidence,2,AC15,S5,trigrams,decaying cited evidence,3,truth_and_fact|temporal_dynamics,2,decaying|evidence,,0,0.0,False
senior colleague continuity,2,AC15,S5,trigrams,senior colleague continuity,3,temporal_dynamics,1,continuity,continuity,1,0.3333333333333333,False
hard constraints from,2,AC15,S5,trigrams,hard constraints,2,practicality_and_feasibility,1,constraints,,0,0.0,False
continuity default use,2,AC15,S5,trigrams,continuity default use,3,temporal_dynamics,1,continuity,continuity,1,0.3333333333333333,False
memory type practical,2,AC15,S5,trigrams,memory type practical,3,practicality_and_feasibility,1,practical,memory,1,0.3333333333333333,False
chat evidence ttl,2,AC15,S5,trigrams,chat evidence ttl,3,truth_and_fact,1,evidence,,0,0.0,False
records decision constraint,2,AC15,S5,trigrams,records decision constraint,3,practicality_and_feasibility,1,constraint,,0,0.0,False
approves low risk,2,AC15,S5,trigrams,approves low risk,3,practicality_and_feasibility,1,risk,,0,0.0,False
evidence with ttl,2,AC15,S5,trigrams,evidence ttl,2,truth_and_fact,1,evidence,,0,0.0,False
you implement memory,2,AC15,S5,trigrams,implement memory,2,practicality_and_feasibility,1,implement,memory,1,0.5,False
implement memory as,2,AC15,S5,trigrams,implement memory,2,practicality_and_feasibility,1,implement,memory,1,0.5,False
t been confirmed,2,AC15,S5,trigrams,been confirmed,2,truth_and_fact,1,confirmed,,0,0.0,False
been confirmed in,2,AC15,S5,trigrams,been confirmed,2,truth_and_fact,1,confirmed,,0,0.0,False
confirmed in days,2,AC15,S5,trigrams,confirmed days,2,truth_and_fact,1,confirmed,,0,0.0,False
evidence not authority,2,AC15,S5,trigrams,evidence authority,2,truth_and_fact,1,evidence,,0,0.0,False
