scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,matched_expression_groups,expression_group_count,matched_expression_terms,matched_expression_layers,constraint_aligned_group_count,cross_cutting_group_count,matched_expression_subgroups,expression_subgroup_count,expression_group,expression_group_layer,expression_subgroup
S7,Scenario 7 - Trigrams,trigrams,AC15,a true pilot,3,3,121,15788,0.00019,1,AC15,3,2,0.6667,,False,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,1,pilot,constraint_aligned,1,0,imagination_and_possibility:path_toward_feasibility,1,imagination_and_possibility,constraint_aligned,path_toward_feasibility
S7,Scenario 7 - Trigrams,trigrams,AC15,about the future,3,3,122,15788,0.00019,1,AC15,3,2,0.6667,,False,temporal_dynamics,1,future,,0,0.0,False,temporal_projection,1,future,constraint_aligned,1,0,temporal_projection:past_present_future,1,temporal_projection,constraint_aligned,past_present_future
S7,Scenario 7 - Trigrams,trigrams,AC15,complex care plan,3,3,138,15788,0.00019,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,marriage kids aging,3,3,178,15788,0.00019,1,AC15,3,3,1.0,,False,,0,,aging;marriage,2,0.666667,False,temporal_projection,1,aging,constraint_aligned,1,0,temporal_projection:decay_and_currency,1,temporal_projection,constraint_aligned,decay_and_currency
S7,Scenario 7 - Trigrams,trigrams,AC15,no merged accounts,3,3,184,15788,0.00019,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,smoothing,1,merged,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,no merged finances,3,3,185,15788,0.00019,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,smoothing,1,merged,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,t merge finances,3,3,202,15788,0.00019,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,smoothing,1,merge,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,pilot plan with,2,3,591,15788,0.000127,1,AC15,2,2,0.6667,,False,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility;practical_considerations_and_execution,2,pilot;plan,constraint_aligned,2,0,imagination_and_possibility:path_toward_feasibility;practical_considerations_and_execution:action_and_execution,2,imagination_and_possibility,constraint_aligned,path_toward_feasibility
S7,Scenario 7 - Trigrams,trigrams,AC15,pilot plan with,2,3,591,15788,0.000127,1,AC15,2,2,0.6667,,False,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility;practical_considerations_and_execution,2,pilot;plan,constraint_aligned,2,0,imagination_and_possibility:path_toward_feasibility;practical_considerations_and_execution:action_and_execution,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,plan so neither,2,3,596,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,imagination_and_possibility;practical_considerations_and_execution,2,neither;plan,constraint_aligned,2,0,imagination_and_possibility:tension_as_fuel;practical_considerations_and_execution:action_and_execution,2,imagination_and_possibility,constraint_aligned,tension_as_fuel
S7,Scenario 7 - Trigrams,trigrams,AC15,plan so neither,2,3,596,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,imagination_and_possibility;practical_considerations_and_execution,2,neither;plan,constraint_aligned,2,0,imagination_and_possibility:tension_as_fuel;practical_considerations_and_execution:action_and_execution,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,the staged plan,2,3,718,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution;temporal_projection,2,plan;staged,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:change_and_rate,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,the staged plan,2,3,718,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution;temporal_projection,2,plan;staged,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:change_and_rate,2,temporal_projection,constraint_aligned,change_and_rate
S7,Scenario 7 - Trigrams,trigrams,AC15,whether her future,2,3,814,15788,0.000127,1,AC15,2,3,1.0,,False,temporal_dynamics,1,future,,0,0.0,False,conditions;temporal_projection,2,future;whether,constraint_aligned;cross_cutting,1,1,conditions:main;temporal_projection:past_present_future,2,conditions,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,whether her future,2,3,814,15788,0.000127,1,AC15,2,3,1.0,,False,temporal_dynamics,1,future,,0,0.0,False,conditions;temporal_projection,2,future;whether,constraint_aligned;cross_cutting,1,1,conditions:main;temporal_projection:past_present_future,2,temporal_projection,constraint_aligned,past_present_future
S7,Scenario 7 - Trigrams,trigrams,AC15,complex care pathway,2,3,331,15788,0.000127,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,pathway,,0,0.0,False,imagination_and_possibility,1,pathway,constraint_aligned,1,0,imagination_and_possibility:path_toward_feasibility,1,imagination_and_possibility,constraint_aligned,path_toward_feasibility
S7,Scenario 7 - Trigrams,trigrams,AC15,defeat sunk cost,2,3,351,15788,0.000127,1,AC15,2,3,1.0,,False,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,1,cost,constraint_aligned,1,0,practical_considerations_and_execution:resources_timing_conditions,1,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions
S7,Scenario 7 - Trigrams,trigrams,AC15,honest answer is,2,3,424,15788,0.000127,1,AC15,2,2,0.6667,,False,truth_and_fact,1,honest,,0,0.0,False,truth,1,honest,constraint_aligned,1,0,truth:plain_statement,1,truth,constraint_aligned,plain_statement
S7,Scenario 7 - Trigrams,trigrams,AC15,protects your future,2,3,610,15788,0.000127,1,AC15,2,2,0.6667,,False,temporal_dynamics,1,future,,0,0.0,False,temporal_projection,1,future,constraint_aligned,1,0,temporal_projection:past_present_future,1,temporal_projection,constraint_aligned,past_present_future
S7,Scenario 7 - Trigrams,trigrams,AC15,schedule one call,2,3,638,15788,0.000127,1,AC15,2,3,1.0,,False,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,1,schedule,constraint_aligned,1,0,practical_considerations_and_execution:resources_timing_conditions,1,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions
S7,Scenario 7 - Trigrams,trigrams,AC15,the practical incentive,2,3,713,15788,0.000127,1,AC15,2,2,0.6667,,False,practicality_and_feasibility,1,practical,,0,0.0,False,practical_considerations_and_execution,1,practical,constraint_aligned,1,0,practical_considerations_and_execution:constraints_and_tradeoffs,1,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs
S7,Scenario 7 - Trigrams,trigrams,AC15,time based evidence,2,3,727,15788,0.000127,1,AC15,2,3,1.0,,False,truth_and_fact,1,evidence,,0,0.0,False,truth,1,evidence,constraint_aligned,1,0,truth:verification,1,truth,constraint_aligned,verification
S7,Scenario 7 - Trigrams,trigrams,AC15,change the plan,2,3,322,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,family expectations aging,2,3,385,15788,0.000127,1,AC15,2,3,1.0,,False,,0,,aging,1,0.333333,False,temporal_projection,1,aging,constraint_aligned,1,0,temporal_projection:decay_and_currency,1,temporal_projection,constraint_aligned,decay_and_currency
S7,Scenario 7 - Trigrams,trigrams,AC15,health changes later,2,3,409,15788,0.000127,1,AC15,2,3,1.0,,False,,0,,health,1,0.333333,False,temporal_projection,1,later,constraint_aligned,1,0,temporal_projection:time_horizons,1,temporal_projection,constraint_aligned,time_horizons
S7,Scenario 7 - Trigrams,trigrams,AC15,health plan partner,2,3,411,15788,0.000127,1,AC15,2,3,1.0,,False,,0,,health;partner,2,0.666667,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,it holds up,2,3,487,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,temporal_projection,1,holds up,constraint_aligned,1,0,temporal_projection:robustness_and_resilience,1,temporal_projection,constraint_aligned,robustness_and_resilience
S7,Scenario 7 - Trigrams,trigrams,AC15,marriage children aging,2,3,527,15788,0.000127,1,AC15,2,3,1.0,,False,,0,,aging;children;marriage,3,1.0,True,temporal_projection,1,aging,constraint_aligned,1,0,temporal_projection:decay_and_currency,1,temporal_projection,constraint_aligned,decay_and_currency
S7,Scenario 7 - Trigrams,trigrams,AC15,plan makes you,2,3,593,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,plan partner not,2,3,595,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,partner,1,0.5,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,plan the next,2,3,598,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,propose the staged,2,3,608,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,temporal_projection,1,staged,constraint_aligned,1,0,temporal_projection:change_and_rate,1,temporal_projection,constraint_aligned,change_and_rate
S7,Scenario 7 - Trigrams,trigrams,AC15,shared costs and,2,3,645,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,costs,constraint_aligned,1,0,practical_considerations_and_execution:resources_timing_conditions,1,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions
S7,Scenario 7 - Trigrams,trigrams,AC15,t ship everything,2,3,686,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,ship,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,to build language,2,3,736,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,build,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,want to plan,2,3,769,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,your plan makes,2,3,882,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15,danger isn t,2,3,347,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,surfacing;warning,2,danger;isn t,cross_cutting,0,2,surfacing:confrontation;warning:main,2,surfacing,cross_cutting,confrontation
S7,Scenario 7 - Trigrams,trigrams,AC15,danger isn t,2,3,347,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,surfacing;warning,2,danger;isn t,cross_cutting,0,2,surfacing:confrontation;warning:main,2,warning,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,could be love,2,3,337,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,love,1,0.5,False,hedging,1,could;could be,cross_cutting,0,1,hedging:multi_word_patterns;hedging:single_word_markers,2,hedging,cross_cutting,multi_word_patterns
S7,Scenario 7 - Trigrams,trigrams,AC15,could be love,2,3,337,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,love,1,0.5,False,hedging,1,could;could be,cross_cutting,0,1,hedging:multi_word_patterns;hedging:single_word_markers,2,hedging,cross_cutting,single_word_markers
S7,Scenario 7 - Trigrams,trigrams,AC15,kind of urgency,2,3,500,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,hedging,1,kind of,cross_cutting,0,1,hedging:multi_word_patterns;hedging:single_word_markers,2,hedging,cross_cutting,multi_word_patterns
S7,Scenario 7 - Trigrams,trigrams,AC15,kind of urgency,2,3,500,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,hedging,1,kind of,cross_cutting,0,1,hedging:multi_word_patterns;hedging:single_word_markers,2,hedging,cross_cutting,single_word_markers
S7,Scenario 7 - Trigrams,trigrams,AC15,motivations could be,2,3,542,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,motivations,1,0.5,False,hedging,1,could;could be,cross_cutting,0,1,hedging:multi_word_patterns;hedging:single_word_markers,2,hedging,cross_cutting,multi_word_patterns
S7,Scenario 7 - Trigrams,trigrams,AC15,motivations could be,2,3,542,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,motivations,1,0.5,False,hedging,1,could;could be,cross_cutting,0,1,hedging:multi_word_patterns;hedging:single_word_markers,2,hedging,cross_cutting,single_word_markers
S7,Scenario 7 - Trigrams,trigrams,AC15,tends to sound,2,3,695,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,hedging,1,tends;tends to,cross_cutting,0,1,hedging:multi_word_patterns;hedging:single_word_markers,2,hedging,cross_cutting,multi_word_patterns
S7,Scenario 7 - Trigrams,trigrams,AC15,tends to sound,2,3,695,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,hedging,1,tends;tends to,cross_cutting,0,1,hedging:multi_word_patterns;hedging:single_word_markers,2,hedging,cross_cutting,single_word_markers
S7,Scenario 7 - Trigrams,trigrams,AC15,buy no merged,2,3,306,15788,0.000127,1,AC15,2,3,1.0,,False,,0,,,0,0.0,False,smoothing,1,merged,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,citizenship and whether,2,3,327,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,citizenship,1,0.5,False,conditions,1,whether,cross_cutting,0,1,conditions:main,1,conditions,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,decision authority if,2,3,348,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,autonomy_sovereignty,1,authority,cross_cutting,0,1,autonomy_sovereignty:single_word_markers,1,autonomy_sovereignty,cross_cutting,single_word_markers
S7,Scenario 7 - Trigrams,trigrams,AC15,isn t about,2,3,481,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,surfacing,1,isn t,cross_cutting,0,1,surfacing:confrontation,1,surfacing,cross_cutting,confrontation
S7,Scenario 7 - Trigrams,trigrams,AC15,medical decision authority,2,3,534,15788,0.000127,1,AC15,2,3,1.0,,False,,0,,medical,1,0.333333,False,autonomy_sovereignty,1,authority,cross_cutting,0,1,autonomy_sovereignty:single_word_markers,1,autonomy_sovereignty,cross_cutting,single_word_markers
S7,Scenario 7 - Trigrams,trigrams,AC15,merge accounts don,2,3,535,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,smoothing,1,merge,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,merged finances keep,2,3,537,15788,0.000127,1,AC15,2,3,1.0,,False,,0,,,0,0.0,False,smoothing,1,merged,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,performers tend to,2,3,588,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,hedging,1,tend,cross_cutting,0,1,hedging:single_word_markers,1,hedging,cross_cutting,single_word_markers
S7,Scenario 7 - Trigrams,trigrams,AC15,property no merged,2,3,607,15788,0.000127,1,AC15,2,3,1.0,,False,,0,,,0,0.0,False,smoothing,1,merged,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,pursue this seriously,2,3,612,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,warning,1,seriously,cross_cutting,0,1,warning:main,1,warning,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,situation that typically,2,3,664,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,hedging,1,typically,cross_cutting,0,1,hedging:single_word_markers,1,hedging,cross_cutting,single_word_markers
S7,Scenario 7 - Trigrams,trigrams,AC15,t merge accounts,2,3,683,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,smoothing,1,merge,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15,the danger isn,2,3,705,15788,0.000127,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,warning,1,danger,cross_cutting,0,1,warning:main,1,warning,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15P,care is plan,4,3,65,16662,0.00024,1,AC15P,4,2,0.6667,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15P,exit plan cash,4,3,72,16662,0.00024,1,AC15P,4,3,1.0,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15P,plan cash logistics,3,3,205,16662,0.00018,1,AC15P,3,3,1.0,,False,,0,,,0,0.0,False,practical_considerations_and_execution,1,plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution,1,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15P,yours and whether,3,3,274,16662,0.00018,1,AC15P,3,2,0.6667,,False,,0,,,0,0.0,False,conditions,1,whether,cross_cutting,0,1,conditions:main,1,conditions,cross_cutting,main
S7,Scenario 7 - Trigrams,trigrams,AC15P,aging sickness plan,2,3,305,16662,0.00012,1,AC15P,2,3,1.0,,False,,0,,aging,1,0.333333,False,practical_considerations_and_execution;temporal_projection,2,aging;plan,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15P,aging sickness plan,2,3,305,16662,0.00012,1,AC15P,2,3,1.0,,False,,0,,aging,1,0.333333,False,practical_considerations_and_execution;temporal_projection,2,aging;plan,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency,2,temporal_projection,constraint_aligned,decay_and_currency
S7,Scenario 7 - Trigrams,trigrams,AC15P,keep a viable,2,3,525,16662,0.00012,1,AC15P,2,2,0.6667,,False,,0,,,0,0.0,False,imagination_and_possibility;practical_considerations_and_execution,2,viable,constraint_aligned,2,0,imagination_and_possibility:path_toward_feasibility;practical_considerations_and_execution:constraints_and_tradeoffs,2,imagination_and_possibility,constraint_aligned,path_toward_feasibility
S7,Scenario 7 - Trigrams,trigrams,AC15P,keep a viable,2,3,525,16662,0.00012,1,AC15P,2,2,0.6667,,False,,0,,,0,0.0,False,imagination_and_possibility;practical_considerations_and_execution,2,viable,constraint_aligned,2,0,imagination_and_possibility:path_toward_feasibility;practical_considerations_and_execution:constraints_and_tradeoffs,2,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs
S7,Scenario 7 - Trigrams,trigrams,AC15P,medical contingency plan,2,3,574,16662,0.00012,1,AC15P,2,3,1.0,,False,practicality_and_feasibility,1,contingency,medical,1,0.333333,False,practical_considerations_and_execution,1,contingen;contingency;plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution;practical_considerations_and_execution:resources_timing_conditions,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Trigrams,trigrams,AC15P,medical contingency plan,2,3,574,16662,0.00012,1,AC15P,2,3,1.0,,False,practicality_and_feasibility,1,contingency,medical,1,0.333333,False,practical_considerations_and_execution,1,contingen;contingency;plan,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution;practical_considerations_and_execution:resources_timing_conditions,2,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions
S7,Scenario 7 - Trigrams,trigrams,AC15P,a realistic return,2,3,287,16662,0.00012,1,AC15P,2,2,0.6667,,False,practicality_and_feasibility,1,realistic,,0,0.0,False,practical_considerations_and_execution,1,realistic,constraint_aligned,1,0,practical_considerations_and_execution:constraints_and_tradeoffs,1,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs
S7,Scenario 7 - Trigrams,trigrams,AC15P,extend trial shift,2,3,409,16662,0.00012,1,AC15P,2,3,1.0,,False,temporal_dynamics,1,shift,,0,0.0,False,temporal_projection,1,shift,constraint_aligned,1,0,temporal_projection:change_and_rate,1,temporal_projection,constraint_aligned,change_and_rate
S7,Scenario 7 - Trigrams,trigrams,AC15P,honest move is,2,3,451,16662,0.00012,1,AC15P,2,2,0.6667,,False,truth_and_fact,1,honest,,0,0.0,False,truth,1,honest,constraint_aligned,1,0,truth:plain_statement,1,truth,constraint_aligned,plain_statement
