ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
near term opex,5,AC15,S1,trigrams,near term opex,3,temporal_dynamics,1,near term,,0,0.0,False
config portability transition,4,AC15,S1,trigrams,config portability transition,3,temporal_dynamics,1,transition,,0,0.0,False
timeline and required,3,AC15,S1,trigrams,timeline required,2,practicality_and_feasibility,1,timeline,,0,0.0,False
long term dependency,2,AC15,S1,trigrams,long term dependency,3,practicality_and_feasibility|temporal_dynamics,2,dependency|long term,,0,0.0,False
high switching cost,2,AC15,S1,trigrams,high switching cost,3,practicality_and_feasibility,1,cost,,0,0.0,False
a concrete critical,2,AC15,S1,trigrams,concrete critical,2,practicality_and_feasibility,1,concrete,,0,0.0,False
concrete critical path,2,AC15,S1,trigrams,concrete critical path,3,practicality_and_feasibility,1,concrete,,0,0.0,False
controllers data config,2,AC15,S1,trigrams,controllers data config,3,truth_and_fact,1,data,controller|controllers,2,0.3333333333333333,False
risk while keeping,2,AC15,S1,trigrams,risk while keeping,3,practicality_and_feasibility,1,risk,,0,0.0,False
long run evidence,2,AC15,S1,trigrams,long run evidence,3,truth_and_fact,1,evidence,,0,0.0,False
venture backed trajectory,2,AC15,S1,trigrams,venture backed trajectory,3,temporal_dynamics,1,trajectory,,0,0.0,False
concrete way standard,2,AC15,S1,trigrams,concrete way standard,3,practicality_and_feasibility,1,concrete,,0,0.0,False
cost reduction vs,2,AC15,S1,trigrams,cost reduction vs,3,practicality_and_feasibility,1,cost,,0,0.0,False
central cloud dependency,2,AC15,S1,trigrams,central cloud dependency,3,practicality_and_feasibility,1,dependency,cloud,1,0.3333333333333333,False
schedule if novagrid,2,AC15,S1,trigrams,schedule novagrid,2,practicality_and_feasibility,1,schedule,novagrid,1,0.5,False
better near term,2,AC15,S1,trigrams,better near term,3,temporal_dynamics,1,near term,,0,0.0,False
window a treat,2,AC15,S1,trigrams,window treat,2,temporal_dynamics,1,window,,0,0.0,False
timelines transition assistance,2,AC15,S1,trigrams,timelines transition assistance,3,temporal_dynamics,1,transition,,0,0.0,False
cost to maintain,2,AC15,S1,trigrams,cost maintain,2,practicality_and_feasibility,1,cost,,0,0.0,False
a phased notice,2,AC15,S1,trigrams,phased notice,2,temporal_dynamics,1,phased,,0,0.0,False
phased notice to,2,AC15,S1,trigrams,phased notice,2,temporal_dynamics,1,phased,,0,0.0,False
a phased start,2,AC15,S1,trigrams,phased start,2,temporal_dynamics,1,phased,,0,0.0,False
phased start and,2,AC15,S1,trigrams,phased start,2,temporal_dynamics,1,phased,,0,0.0,False
reduces near term,2,AC15,S1,trigrams,reduces near term,3,temporal_dynamics,1,near term,,0,0.0,False
fewest external blockers,2,AC15,S1,trigrams,fewest external blockers,3,practicality_and_feasibility,1,blockers,,0,0.0,False
external blockers civitas,2,AC15,S1,trigrams,external blockers civitas,3,practicality_and_feasibility,1,blockers,civitas,1,0.3333333333333333,False
and council proof,2,AC15,S1,trigrams,council proof,2,truth_and_fact,1,proof,,0,0.0,False
schedule exhibit with,2,AC15,S1,trigrams,schedule exhibit,2,practicality_and_feasibility,1,schedule,,0,0.0,False
predictable near term,2,AC15,S1,trigrams,predictable near term,3,temporal_dynamics,1,near term,,0,0.0,False
that preserves momentum,2,AC15,S1,trigrams,preserves momentum,2,temporal_dynamics,1,momentum,,0,0.0,False
documented formats transition,2,AC15,S1,trigrams,documented formats transition,3,temporal_dynamics,1,transition,,0,0.0,False
transition assistance defined,2,AC15,S1,trigrams,transition assistance defined,3,temporal_dynamics,1,transition,,0,0.0,False
data ownership full,7,AC15P,S1,trigrams,data ownership full,3,truth_and_fact,1,data,,0,0.0,False
week award window,3,AC15P,S1,trigrams,week award window,3,temporal_dynamics,1,window,,0,0.0,False
schedule slip or,3,AC15P,S1,trigrams,schedule slip,2,practicality_and_feasibility,1,schedule,,0,0.0,False
total operating cost,3,AC15P,S1,trigrams,total operating cost,3,practicality_and_feasibility,1,cost,,0,0.0,False
under your constraints,3,AC15P,S1,trigrams,under constraints,2,practicality_and_feasibility,1,constraints,,0,0.0,False
failure council budget,3,AC15P,S1,trigrams,failure council budget,3,practicality_and_feasibility,1,budget,,0,0.0,False
schedule risk regardless,2,AC15P,S1,trigrams,schedule risk regardless,3,practicality_and_feasibility,2,risk|schedule,,0,0.0,False
cost continuity controls,2,AC15P,S1,trigrams,cost continuity controls,3,practicality_and_feasibility|temporal_dynamics,2,cost|continuity,,0,0.0,False
flexibility exit risk,2,AC15P,S1,trigrams,flexibility exit risk,3,practicality_and_feasibility|imagination_and_possibility,2,risk|flexibility,,0,0.0,False
schedule risk we,2,AC15P,S1,trigrams,schedule risk,2,practicality_and_feasibility,2,risk|schedule,,0,0.0,False
avoidable schedule risk,2,AC15P,S1,trigrams,avoidable schedule risk,3,practicality_and_feasibility,2,risk|schedule,,0,0.0,False
logs detector data,2,AC15P,S1,trigrams,logs detector data,3,truth_and_fact,1,data,,0,0.0,False
detector data in,2,AC15P,S1,trigrams,detector data,2,truth_and_fact,1,data,,0,0.0,False
access transition assistance,2,AC15P,S1,trigrams,access transition assistance,3,temporal_dynamics,1,transition,,0,0.0,False
waiver friction essential,2,AC15P,S1,trigrams,waiver friction essential,3,practicality_and_feasibility,1,friction,waiver,1,0.3333333333333333,False
friction essential infrastructure,2,AC15P,S1,trigrams,friction essential infrastructure,3,practicality_and_feasibility,1,friction,infrastructure|essential infrastructure,2,0.6666666666666666,False
requiring data export,2,AC15P,S1,trigrams,requiring data export,3,truth_and_fact,1,data,,0,0.0,False
punitive fees transition,2,AC15P,S1,trigrams,punitive fees transition,3,temporal_dynamics,1,transition,,0,0.0,False
