ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
one click mark outdated,4,AC15,S5,quadgrams,one click mark outdated,4,temporal_dynamics,1,outdated,,0,0.0,False
click mark outdated supersede,3,AC15,S5,quadgrams,click mark outdated supersede,4,temporal_dynamics,1,outdated,,0,0.0,False
active superseded deprecated created_at,3,AC15,S5,quadgrams,active superseded deprecated created_at,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
superseded deprecated created_at last_confirmed_at,3,AC15,S5,quadgrams,superseded deprecated created_at last_confirmed_at,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
deprecated created_at last_confirmed_at confidence,3,AC15,S5,quadgrams,deprecated created_at last_confirmed_at confidence,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
decision constraint convention confirmedfix,3,AC15,S5,quadgrams,decision constraint convention confirmedfix,4,practicality_and_feasibility,1,constraint,,0,0.0,False
constraints conventions confirmed fixes,2,AC15,S5,quadgrams,constraints conventions confirmed fixes,4,truth_and_fact|practicality_and_feasibility,2,confirmed|constraints,,0,0.0,False
as decaying cited evidence,2,AC15,S5,quadgrams,decaying cited evidence,3,truth_and_fact|temporal_dynamics,2,decaying|evidence,,0,0.0,False
typed records decision constraint,2,AC15,S5,quadgrams,typed records decision constraint,4,practicality_and_feasibility,1,constraint,,0,0.0,False
records decision constraint convention,2,AC15,S5,quadgrams,records decision constraint convention,4,practicality_and_feasibility,1,constraint,,0,0.0,False
auto approves low risk,2,AC15,S5,quadgrams,auto approves low risk,4,practicality_and_feasibility,1,risk,,0,0.0,False
you implement memory as,2,AC15,S5,quadgrams,implement memory,2,practicality_and_feasibility,1,implement,memory,1,0.5,False
vectors as cited evidence,2,AC15,S5,quadgrams,vectors cited evidence,3,truth_and_fact,1,evidence,vector|vectors,2,0.3333333333333333,False
hasn t been confirmed,2,AC15,S5,quadgrams,hasn been confirmed,3,truth_and_fact,1,confirmed,,0,0.0,False
t been confirmed in,2,AC15,S5,quadgrams,been confirmed,2,truth_and_fact,1,confirmed,,0,0.0,False
been confirmed in days,2,AC15,S5,quadgrams,been confirmed days,3,truth_and_fact,1,confirmed,,0,0.0,False
outdated don t use,2,AC15,S5,quadgrams,outdated use,2,temporal_dynamics,1,outdated,,0,0.0,False
confirm if you tell,2,AC15,S5,quadgrams,confirm tell,2,truth_and_fact,1,confirm,,0,0.0,False
continuity but make it,2,AC15,S5,quadgrams,continuity make,2,temporal_dynamics,1,continuity,continuity,1,0.5,False
always show source date,2,AC15,S5,quadgrams,always show source date,4,truth_and_fact,1,source,,0,0.0,False
layer b evidence index,2,AC15,S5,quadgrams,layer b evidence index,4,truth_and_fact,1,evidence,,0,0.0,False
b evidence index ei,2,AC15,S5,quadgrams,b evidence index ei,4,truth_and_fact,1,evidence,,0,0.0,False
code prompt constraints only,2,AC15,S5,quadgrams,code prompt constraints,3,practicality_and_feasibility,1,constraints,code,1,0.3333333333333333,False
project brief decisions constraints,2,AC15,S5,quadgrams,project brief decisions constraints,4,practicality_and_feasibility,1,constraints,,0,0.0,False
brief decisions constraints conventions,2,AC15,S5,quadgrams,brief decisions constraints conventions,4,practicality_and_feasibility,1,constraints,,0,0.0,False
verified outcomes runbook items,3,AC15P,S5,quadgrams,verified outcomes runbook items,4,truth_and_fact,1,verified,,0,0.0,False
accepted superseded deprecated needs,3,AC15P,S5,quadgrams,accepted superseded deprecated needs,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
superseded deprecated needs review,3,AC15P,S5,quadgrams,superseded deprecated needs review,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
adr style decisions verified,3,AC15P,S5,quadgrams,adr style decisions verified,4,truth_and_fact,1,verified,,0,0.0,False
style decisions verified outcomes,3,AC15P,S5,quadgrams,style decisions verified outcomes,4,truth_and_fact,1,verified,,0,0.0,False
draft accepted superseded deprecated,3,AC15P,S5,quadgrams,draft accepted superseded deprecated,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False
decisions constraints verified outcomes,2,AC15P,S5,quadgrams,decisions constraints verified outcomes,4,truth_and_fact|practicality_and_feasibility,2,verified|constraints,,0,0.0,False
makes continuity mostly about,2,AC15P,S5,quadgrams,makes continuity mostly about,4,temporal_dynamics,1,continuity,continuity,1,0.25,False
tend to make continuity,2,AC15P,S5,quadgrams,tend make continuity,3,temporal_dynamics,1,continuity,continuity,1,0.3333333333333333,False
constraint that steers everything,2,AC15P,S5,quadgrams,constraint steers everything,3,practicality_and_feasibility,1,constraint,,0,0.0,False
can t ship provenance,2,AC15P,S5,quadgrams,ship provenance,2,truth_and_fact,1,provenance,,0,0.0,False
time window branch artifact,2,AC15P,S5,quadgrams,time window branch artifact,4,temporal_dynamics,1,window,,0,0.0,False
possible paths symbols exist,2,AC15P,S5,quadgrams,possible paths symbols exist,4,imagination_and_possibility,1,possible,,0,0.0,False
artifact type time window,2,AC15P,S5,quadgrams,artifact type time window,4,temporal_dynamics,1,window,,0,0.0,False
type time window status,2,AC15P,S5,quadgrams,type time window status,4,temporal_dynamics,1,window,,0,0.0,False
conventions constraints system map,7,CONTROL,S5,quadgrams,conventions constraints system map,4,practicality_and_feasibility,1,constraints,,0,0.0,False
decisions conventions constraints system,6,CONTROL,S5,quadgrams,decisions conventions constraints system,4,practicality_and_feasibility,1,constraints,,0,0.0,False
notebook decisions conventions constraints,3,CONTROL,S5,quadgrams,notebook decisions conventions constraints,4,practicality_and_feasibility,1,constraints,,0,0.0,False
gated vector backed evidence,2,CONTROL,S5,quadgrams,gated vector backed evidence,4,truth_and_fact,1,evidence,vector,1,0.25,False
verify against the repo,2,CONTROL,S5,quadgrams,verify against repo,3,truth_and_fact,1,verify,,0,0.0,False
module tags recency window,2,CONTROL,S5,quadgrams,module tags recency window,4,temporal_dynamics,1,window,,0,0.0,False
continuum notebook gated evidence,2,CONTROL,S5,quadgrams,continuum notebook gated evidence,4,truth_and_fact,1,evidence,continuum,1,0.25,False
vector backed evidence index,2,CONTROL,S5,quadgrams,vector backed evidence index,4,truth_and_fact,1,evidence,vector,1,0.25,False
constraints conventions system map,2,CONTROL,S5,quadgrams,constraints conventions system map,4,practicality_and_feasibility,1,constraints,,0,0.0,False
as decision convention constraint,2,CONTROL,S5,quadgrams,decision convention constraint,3,practicality_and_feasibility,1,constraint,,0,0.0,False
repo verification before recommending,2,CONTROL,S5,quadgrams,repo verification before recommending,4,truth_and_fact,1,verification,,0,0.0,False
brief adrs conventions constraints,5,HYBRID_3_5,S5,quadgrams,brief adrs conventions constraints,4,practicality_and_feasibility,1,constraints,,0,0.0,False
adrs conventions constraints glossary,3,HYBRID_3_5,S5,quadgrams,adrs conventions constraints glossary,4,practicality_and_feasibility,1,constraints,,0,0.0,False
as evidence not truth,2,HYBRID_3_5,S5,quadgrams,evidence truth,2,truth_and_fact,2,truth|evidence,,0,0.0,False
