ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
a phased start,2,AC15,S1,trigrams,phased start,2,temporal_dynamics,1,phased,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,phas|phased|start,False
phased start and,2,AC15,S1,trigrams,phased start,2,temporal_dynamics,1,phased,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,phas|phased|start,False
slower rollout months,2,AC15,S1,trigrams,slower rollout months,3,,0,,rollout,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,rollout,False
running safe plans,2,AC15,S1,trigrams,running safe plans,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
timing plans configurations,2,AC15,S1,trigrams,timing plans configurations,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
plans configurations logs,2,AC15,S1,trigrams,plans configurations logs,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
before broad rollout,2,AC15,S1,trigrams,before broad rollout,3,,0,,rollout,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,rollout,False
start and compress,2,AC15,S1,trigrams,start compress,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,start,False
plans controller configs,3,AC15P,S1,trigrams,plans controller configs,3,,0,,controller,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
t delay start,3,AC15P,S1,trigrams,delay start,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,start,False
plans time of,2,AC15P,S1,trigrams,plans time,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
construction event plan,2,AC15P,S1,trigrams,construction event plan,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plan,False
comms planning controller,2,AC15P,S1,trigrams,comms planning controller,3,,0,,controller,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,planning,False
start without delay,2,AC15P,S1,trigrams,start without delay,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,start,False
start immediately with,2,AC15P,S1,trigrams,start immediately,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,start,False
build out that,2,AC15P,S1,trigrams,build out,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,build,False
rollout beyond months,2,AC15P,S1,trigrams,rollout beyond months,3,,0,,rollout,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,rollout,False
before full rollout,2,AC15P,S1,trigrams,before full rollout,3,,0,,rollout,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,rollout,False
of configs plans,2,AC15P,S1,trigrams,configs plans,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
configs plans logs,2,AC15P,S1,trigrams,configs plans logs,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
plans logs documented,2,AC15P,S1,trigrams,plans logs documented,3,,0,,,0,0.0,False,practical_considerations_and_execution|truth,practical_considerations_and_execution.action_and_execution|truth.verification,2,2,2,0,practical_considerations_and_execution|truth,,documented|plans,False
as built documentation,3,CONTROL,S1,trigrams,built documentation,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,built,False
a staged rollout,3,CONTROL,S1,trigrams,staged rollout,2,,0,,rollout,1,0.5,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,rollout|staged,False
staged rollout plan,3,CONTROL,S1,trigrams,staged rollout plan,3,,0,,rollout,1,0.3333333333333333,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,plan|rollout|staged,False
delay start assumption,2,CONTROL,S1,trigrams,delay start assumption,3,truth_and_fact,1,assumption,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,start,False
stated rollout months,2,CONTROL,S1,trigrams,stated rollout months,3,,0,,rollout,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,rollout,False
