Scenario 3 - Bigrams,,,,,,,,,
CONTROL,,AC15,,AC15P,,HYBRID_3_5,,HYBRID_SEMANTIC,
Bigram,Count,Bigram,Count,Bigram,Count,Bigram,Count,Bigram,Count
if you,49,if you,82,if you,85,you can,70,if you,67
you can,44,you can,80,you can,83,if you,69,you can,64
it s,36,rev b,50,rev b,53,it s,32,it s,45
can t,23,it s,42,it s,38,can t,32,if the,33
if the,20,can t,35,can t,35,early access,31,series b,31
safety case,19,operating envelope,29,is not,32,sign off,29,safety case,28
with a,19,if the,26,series b,30,chief architect,29,you re,28
you re,19,series b,26,proposal a,27,series b,24,can t,27
the hardware,19,in the,24,if the,27,proposal a,23,early access,27
series b,19,you re,24,you re,27,safety case,23,in the,26
the bridge,18,can be,23,chief architect,27,is not,22,for the,26
the company,17,proposal a,23,i can,23,you re,22,won t,25
proposal a,16,chief architect,23,only if,22,with a,18,don t,23
early access,16,don t,23,the mining,20,operating envelope,18,chief architect,23
not a,15,e g,21,la eap,20,the chief,18,proposal a,22
of the,15,into a,21,not a,19,don t,17,the chief,22
commercial launch,15,haul road,20,sign off,19,only if,17,operating envelope,21
hardware fix,15,is not,19,the chief,18,i can,17,the hardware,20
is not,14,doesn t,19,operating envelope,18,the bridge,17,sign off,20
operating envelope,14,and the,19,if they,18,limited availability,16,the series,20
a constrained,14,only if,18,site qualification,18,as a,16,haul road,20
only if,14,failure mode,18,e g,18,and the,16,is not,19
and the,14,the architect,18,with a,17,haul roads,16,not a,19
i can,14,hardware fix,17,limited availability,17,hardware fix,15,s a,19
chief architect,14,the mining,17,don t,16,can be,15,and a,19
as a,13,even if,16,not just,16,for the,15,must be,18
this quarter,13,is a,16,can be,16,to the,15,doesn t,17
won t,13,won t,16,as a,16,you should,15,haul roads,17
interference zones,13,safety hover,16,and the,16,technical authority,15,can be,17
haul road,13,haul roads,16,early access,16,you have,14,in a,17
don t,12,lock loss,15,this quarter,16,even if,14,i can,17
a safety,12,to a,15,b shielding,16,not a,14,non negotiable,17
for the,12,the chief,15,help you,15,and you,14,with a,17
even if,12,i can,15,high emi,15,in the,14,only if,16
can be,12,with a,14,mining partner,15,and a,14,the architect,16
s a,11,of the,14,to a,15,entry into,14,the mining,16
the chief,11,this quarter,14,haul roads,15,into service,14,critical zones,16
constrained commercial,11,this is,13,the bridge,14,the mining,14,you need,15
service led,11,not a,13,this is,14,is a,13,the bridge,15
high interference,11,the hardware,13,in the,14,e g,13,hardware fix,14
what you,11,the bridge,13,if any,14,as the,13,commercial launch,14
e g,11,the sla,13,is a,14,haul road,13,to a,14
is a,11,early access,13,low emi,14,if the,13,if they,14
and you,11,can you,12,commercial launch,13,hover descend,13,with the,14
if it,11,what you,12,that s,13,shielding revision,12,a constrained,14
to a,11,one of,12,you cannot,13,this is,12,you have,13
hot swap,11,or you,12,can help,13,re not,12,even if,13
lock loss,10,with the,12,envelope and,13,the envelope,12,site qualification,13
isn t,10,if they,12,in a,13,of the,11,into a,13
in the,10,non negotiable,12,haul road,13,you cannot,11,if it,13
in high,10,time to,11,for the,12,safe landing,11,and the,13
into a,10,if it,11,and a,12,to a,11,do not,13
it as,10,and you,11,explicit exclusions,12,tied to,11,the company,13
this is,9,and a,11,the next,12,that s,11,controlled launch,13
you are,9,commissioning period,11,safety hover,12,downtime penalties,11,the launch,12
and a,9,loss of,10,downtime penalties,12,active haul,11,to the,12
delay for,9,it as,10,the window,12,is the,10,e g,12
by design,9,interference zones,10,stop criteria,12,in a,10,architect sign,12
doesn t,9,you need,10,high interference,11,you ve,10,integrity monitoring,12
