scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,matched_expression_groups,expression_group_count,matched_expression_terms,matched_expression_layers,constraint_aligned_group_count,cross_cutting_group_count,matched_expression_subgroups,expression_subgroup_count
S1,Scenario 1 - Trigrams,trigrams,AC15,make us wrong,6,3,37,18023,0.000333,1,AC15,6,2,0.6667,,False,,0,,,0,0.0,False,surfacing,1,wrong,cross_cutting,0,1,surfacing:confrontation,1
S1,Scenario 1 - Trigrams,trigrams,AC15,near term opex,5,3,59,18023,0.000277,1,AC15,5,3,1.0,,False,temporal_dynamics,1,near term,,0,0.0,False,temporal_projection,1,near term,constraint_aligned,1,0,temporal_projection:time_horizons,1
S1,Scenario 1 - Trigrams,trigrams,AC15,controller substitution rights,5,3,50,18023,0.000277,1,AC15,5,3,1.0,,False,,0,,controller,1,0.333333,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,config portability transition,4,3,81,18023,0.000222,1,AC15,4,3,1.0,,False,temporal_dynamics,1,transition,,0,0.0,False,temporal_projection,1,transit;transition,constraint_aligned,1,0,temporal_projection:change_and_rate,1
S1,Scenario 1 - Trigrams,trigrams,AC15,pre approved equivalents,4,3,97,18023,0.000222,1,AC15,4,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,proprietary central components,4,3,98,18023,0.000222,1,AC15,4,3,1.0,,False,,0,,proprietary,1,0.333333,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,those i can,4,3,101,18023,0.000222,1,AC15,4,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,timeline and required,3,3,249,18023,0.000166,1,AC15,3,2,0.6667,,False,practicality_and_feasibility;temporal_dynamics,1,timeline,,0,0.0,False,practical_considerations_and_execution,1,timeline,constraint_aligned,1,0,practical_considerations_and_execution:resources_timing_conditions,1
S1,Scenario 1 - Trigrams,trigrams,AC15,acceptance testing that,3,3,120,18023,0.000166,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,truth,1,testing,constraint_aligned,1,0,truth:verification,1
S1,Scenario 1 - Trigrams,trigrams,AC15,after action review,3,3,123,18023,0.000166,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,and approved equivalents,3,3,124,18023,0.000166,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,and controller procurement,3,3,125,18023,0.000166,1,AC15,3,2,0.6667,,False,,0,,controller;procurement,2,1.0,True,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,and required controls,3,3,127,18023,0.000166,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,approved equivalent models,3,3,132,18023,0.000166,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,central wan degradation,3,3,143,18023,0.000166,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,clears dot s,3,3,152,18023,0.000166,1,AC15,3,2,0.6667,,False,,0,,dot,1,0.5,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,config portability and,3,3,155,18023,0.000166,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,controller substitution spares,3,3,158,18023,0.000166,1,AC15,3,3,1.0,,False,,0,,controller,1,0.333333,False,,0,,,0,0,,0
S1,Scenario 1 - Trigrams,trigrams,AC15,during the incident,3,3,166,18023,0.000166,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
