ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
these become likely,2,AC15,S3,trigrams,these become likely,3,,0,,,0,0.0,False,hedging,hedging,1,1,0,1,,hedging,likely,False
re statistically likely,2,AC15,S3,trigrams,statistically likely,2,,0,,,0,0.0,False,hedging,hedging,1,1,0,1,,hedging,likely,False
statistically likely to,2,AC15,S3,trigrams,statistically likely,2,,0,,,0,0.0,False,hedging,hedging,1,1,0,1,,hedging,likely,False
how often do,3,AC15P,S3,trigrams,how often,2,,0,,,0,0.0,False,hedging,hedging,1,1,0,1,,hedging,often,False
may shift so,2,AC15P,S3,trigrams,may shift,2,temporal_dynamics,1,shift,,0,0.0,False,hedging|temporal_projection,hedging|temporal_projection.change_and_rate,2,2,1,1,temporal_projection,hedging,may|shift,False
i would treat,2,AC15P,S3,trigrams,i treat,2,,0,,,0,0.0,False,hedging,hedging,1,1,0,1,,hedging,i would,False
the balance usually,2,AC15P,S3,trigrams,balance usually,2,,0,,,0,0.0,False,hedging|smoothing,hedging|smoothing,2,2,0,2,,hedging|smoothing,balance|usually,False
balance usually lies,2,AC15P,S3,trigrams,balance usually lies,3,,0,,,0,0.0,False,hedging|smoothing,hedging|smoothing,2,2,0,2,,hedging|smoothing,balance|usually,False
usually lies toward,2,AC15P,S3,trigrams,usually lies toward,3,,0,,,0,0.0,False,hedging,hedging,1,1,0,1,,hedging,usually,False
may avoid both,2,HYBRID_3_5,S3,trigrams,may avoid both,3,,0,,,0,0.0,False,hedging,hedging,1,1,0,1,,hedging,may,False
launch broadly with,2,HYBRID_3_5,S3,trigrams,launch broadly,2,,0,,launch,1,0.5,False,hedging|practical_considerations_and_execution,hedging|practical_considerations_and_execution.action_and_execution,2,2,1,1,practical_considerations_and_execution,hedging,broadly|launch,False
zones might shift,2,HYBRID_SEMANTIC,S3,trigrams,zones might shift,3,temporal_dynamics,1,shift,,0,0.0,False,hedging|temporal_projection,hedging|temporal_projection.change_and_rate,2,2,1,1,temporal_projection,hedging,might|shift,False
