scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,matched_expression_groups,expression_group_count,matched_expression_terms,matched_expression_layers,constraint_aligned_group_count,cross_cutting_group_count,matched_expression_subgroups,expression_subgroup_count,expression_group,expression_group_layer,expression_subgroup
S7,Scenario 7 - Quadgrams,quadgrams,AC15,a long term partner,3,4,27,15787,0.00019,1,AC15,3,3,0.75,,False,temporal_dynamics,1,long term,partner,1,0.333333,False,temporal_projection,1,long term,constraint_aligned,1,0,temporal_projection:time_horizons,1,temporal_projection,constraint_aligned,time_horizons
S7,Scenario 7 - Quadgrams,quadgrams,AC15,don t merge finances,3,4,35,15787,0.00019,1,AC15,3,2,0.5,,False,,0,,,0,0.0,False,smoothing,1,merge,cross_cutting,0,1,smoothing:main,1,smoothing,cross_cutting,main
S7,Scenario 7 - Quadgrams,quadgrams,AC15,aging health plan partner,2,4,84,15787,0.000127,1,AC15,2,4,1.0,,False,,0,,aging;health;partner,3,0.75,True,practical_considerations_and_execution;temporal_projection,2,aging;plan,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Quadgrams,quadgrams,AC15,aging health plan partner,2,4,84,15787,0.000127,1,AC15,2,4,1.0,,False,,0,,aging;health;partner,3,0.75,True,practical_considerations_and_execution;temporal_projection,2,aging;plan,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency,2,temporal_projection,constraint_aligned,decay_and_currency
S7,Scenario 7 - Quadgrams,quadgrams,AC15,plan so neither of,2,4,250,15787,0.000127,1,AC15,2,2,0.5,,False,,0,,,0,0.0,False,imagination_and_possibility;practical_considerations_and_execution,2,neither;plan,constraint_aligned,2,0,imagination_and_possibility:tension_as_fuel;practical_considerations_and_execution:action_and_execution,2,imagination_and_possibility,constraint_aligned,tension_as_fuel
S7,Scenario 7 - Quadgrams,quadgrams,AC15,plan so neither of,2,4,250,15787,0.000127,1,AC15,2,2,0.5,,False,,0,,,0,0.0,False,imagination_and_possibility;practical_considerations_and_execution,2,neither;plan,constraint_aligned,2,0,imagination_and_possibility:tension_as_fuel;practical_considerations_and_execution:action_and_execution,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Quadgrams,quadgrams,AC15,propose the staged plan,2,4,255,15787,0.000127,1,AC15,2,3,0.75,,False,,0,,,0,0.0,False,practical_considerations_and_execution;temporal_projection,2,plan;staged,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:change_and_rate,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S7,Scenario 7 - Quadgrams,quadgrams,AC15,propose the staged plan,2,4,255,15787,0.000127,1,AC15,2,3,0.75,,False,,0,,,0,0.0,False,practical_considerations_and_execution;temporal_projection,2,plan;staged,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:change_and_rate,2,temporal_projection,constraint_aligned,change_and_rate
S7,Scenario 7 - Quadgrams,quadgrams,AC15,cost if you tell,2,4,109,15787,0.000127,1,AC15,2,2,0.5,,False,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,1,cost,constraint_aligned,1,0,practical_considerations_and_execution:resources_timing_conditions,1,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions
S7,Scenario 7 - Quadgrams,quadgrams,AC15,from a long term,2,4,145,15787,0.000127,1,AC15,2,2,0.5,,False,temporal_dynamics,1,long term,,0,0.0,False,temporal_projection,1,long term,constraint_aligned,1,0,temporal_projection:time_horizons,1,temporal_projection,constraint_aligned,time_horizons
